id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
541,BP20401,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,70,32,Hutan,Mangrove,Rakun,1.4121800,102.3161455,11.5878216,0.25,Belum,-,-,Arapik,10/13/2021 10:49,"200,000.00",8.58,-,Krisnawati et al. (2012),media/1634114895837.jpg,media/1634114966604.jpg,media/1634114766016.jpg,media/1634114947237.jpg,adopsipohonriau/541
542,BP20398,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,30,26,Hutan,Mangrove,Rakun,1.4464271,102.2624816,0,0.25,Belum,-,-,Burhanuddin,10/13/2021 10:46,"200,000.00",1.12,-,Krisnawati et al. (2012),media/1634114737974.jpg,media/1634114760711.jpg,media/1634114703124.jpg,media/1634114667328.jpg,adopsipohonriau/542
543,BP20403,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,45,26,Hutan,Mangrove,Rakun,1.4160206,102.3154298,11.5878216,0.21,Belum,-,-,Arapik,10/13/2021 10:55,"200,000.00",2.97,-,Krisnawati et al. (2012),media/1634115225751.jpg,media/1634115292168.jpg,media/1634115141244.jpg,media/1634115265769.jpg,adopsipohonriau/543
544,BP20402,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,50,24,Hutan,Mangrove,Rakun,1.4247865,102.3047248,4,0.7,Belum,-,-,Burhanuddin,10/13/2021 10:53,"200,000.00",3.82,-,Krisnawati et al. (2012),media/1634115182980.jpg,media/1634115202581.jpg,media/1634115143653.jpg,media/1634115120273.jpg,adopsipohonriau/544
545,BP20404,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,25,Hutan,Mangrove,Rakun,1.4160148,102.3165033,0,0.09,Belum,-,-,Arapik,10/14/2021 3:48,"200,000.00",2.24,-,Krisnawati et al. (2012),media/1634176003318.jpg,media/1634176049361.jpg,media/1634176083567.jpg,media/1634176028129.jpg,adopsipohonriau/545
546,BP20407,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,37,26,Hutan,Mangrove,Rakun,1.4127722,102.3157876,0,0.24,Belum,-,-,Arapik,10/14/2021 3:52,"200,000.00",1.86,-,Krisnawati et al. (2012),media/1634176278924.jpg,media/1634176325695.jpg,media/1634176232372.jpg,media/1634176306329.jpg,adopsipohonriau/546
547,BP20405,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,38,30,Hutan,Mangrove,Rakun,1.4066211,102.3071997,0,0.78,Belum,-,-,Zahari,10/14/2021 3:50,"200,000.00",1.98,-,Krisnawati et al. (2012),media/1634176246455.jpg,media/1634176277023.jpg,media/1634176261946.jpg,media/1634176229993.jpg,adopsipohonriau/547
548,BP20406,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,33,25,Hutan,Mangrove,Rakun,1.4249862,102.3050364,-3,0.67,Belum,-,-,Zahari,10/14/2021 3:54,"200,000.00",1.41,-,Krisnawati et al. (2012),media/1634176431472.jpg,media/1634176452247.jpg,media/1634176406406.jpg,media/1634176388427.jpg,adopsipohonriau/548
549,BP20408,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,33,25,Hutan,Mangrove,Rakun,1.4127722,102.3157876,0,0.24,Belum,-,-,Arapik,10/14/2021 3:55,"200,000.00",1.41,-,Krisnawati et al. (2012),media/1634176499890.jpg,media/1634176541046.jpg,media/1634176464984.jpg,media/1634176520736.jpg,adopsipohonriau/549
550,BP24010,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,30,Hutan,Mangrove,Rakun,1.4249745,102.3044562,10,0.69,Belum,-,-,Zahari,10/14/2021 3:57,"200,000.00",2.24,-,Krisnawati et al. (2012),media/1634176662489.jpg,media/1634176707591.jpg,media/1634176691585.jpg,media/1634176644228.jpg,adopsipohonriau/550
551,BP20409,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,30,25,Hutan,Mangrove,Rakun,1.4160148,102.3165033,0,0.09,Belum,-,-,Arapik,10/14/2021 3:59,"200,000.00",1.12,-,Krisnawati et al. (2012),media/1634176706785.jpg,media/1634176762155.jpg,media/1634176674025.jpg,media/1634176739580.jpg,adopsipohonriau/551
552,BP20411,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,31,20,Hutan,Mangrove,Rakun,1.4464271,102.2624816,0,0.25,Belum,-,-,Zahari,10/14/2021 3:59,"200,000.00",1.21,-,Krisnawati et al. (2012),media/1634176850905.jpg,media/1634176898571.jpg,media/1634176868786.jpg,media/1634176828112.jpg,adopsipohonriau/552
553,BP20413,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,27,23,Hutan,Mangrove,Rakun,1.4160148,102.3165033,0,0.09,Belum,-,-,Arapik,10/14/2021 4:04,"200,000.00",0.87,-,Krisnawati et al. (2012),media/1634176982085.jpg,media/1634177029936.jpg,media/1634176934595.jpg,media/1634177004655.jpg,adopsipohonriau/553
